Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,DTI_Ratio
56,48353.0,31258.0,675.0,20,Female,High School,Houston,Unemployed,0,0.6464408321958887
69,57462.0,23262.0,586.0,6,Male,High School,San Francisco,Self-Employed,0,0.4048170126864243
46,44219.0,26530.0,781.0,26,Male,PhD,Houston,Self-Employed,1,0.5999547715965626
32,56307.0,11531.0,549.0,11,Male,Unknown,New York,Unemployed,0,0.20478440008524543
60,37034.0,27871.0,500.0,19,Female,High School,Chicago,Unemployed,0,0.7525583907114891
25,47886.0,18106.0,835.0,13,Male,Masters,New York,Salaried,1,0.3780984400776829
38,54748.0,25374.0,760.0,9,Female,High School,New York,Self-Employed,1,0.46346051982684616
56,49488.0,6279.0,599.0,22,Male,PhD,New York,Unemployed,0,0.12687667966618846
36,25918.0,25041.0,777.0,29,Female,Bachelors,San Francisco,Unemployed,0,0.9661252363131294
40,43415.0,2065.0,382.0,30,Female,High School,San Francisco,Self-Employed,0,0.047563110374055646
28,75162.0,17793.0,757.0,9,Female,PhD,New York,Unemployed,0,0.23672551654404428
28,42613.0,6356.0,597.0,18,Female,High School,San Francisco,Self-Employed,0,0.14915286056225655
41,50237.0,25064.0,663.0,18,Female,PhD,Houston,Unemployed,0,0.49890521119471315
53,48699.0,20554.0,579.0,22,Female,Unknown,Chicago,Self-Employed,0,0.4220533880903491
57,49488.0,13834.0,639.0,31,Male,Masters,San Francisco,Salaried,1,0.279536866778476
41,69356.0,31475.0,815.0,19,Female,Bachelors,San Francisco,Unemployed,0,0.45381143936444773
20,62113.0,12827.0,407.0,3,Male,Bachelors,New York,Unemployed,1,0.2065073896384068
39,35401.0,0.0,615.0,32,Female,PhD,Chicago,Unemployed,0,0.0
19,55388.0,24109.0,413.0,0,Female,PhD,Houston,Salaried,0,0.4352669302569102
41,49488.0,5867.0,466.0,12,Male,Bachelors,Houston,Unemployed,0,0.118551597324658
61,39521.0,13080.0,560.0,2,Female,Masters,Chicago,Unemployed,0,0.330954911188705
47,36942.0,15861.0,523.0,11,Male,Masters,Houston,Self-Employed,1,0.42933708686354655
55,75575.0,8608.0,561.0,28,Female,High School,Chicago,Unemployed,0,0.1138985921456547
19,45488.0,16050.0,550.0,30,Male,Masters,New York,Unemployed,0,0.3528325529248829
38,74225.0,8758.0,825.0,35,Male,Bachelors,Houston,Self-Employed,1,0.11799100045806052
50,64956.0,21299.0,425.0,1,Female,Bachelors,Houston,Salaried,0,0.3278938374617054
29,56118.0,10170.0,505.0,21,Male,Masters,Chicago,Salaried,0,0.18122204600937294
39,56788.0,20241.0,439.0,21,Male,Masters,Houston,Self-Employed,0,0.3564246597052246
61,28994.0,29296.0,361.0,30,Female,Bachelors,San Francisco,Salaried,0,1.0103811001896879
42,53102.0,26259.0,582.0,13,Female,Bachelors,New York,Salaried,0,0.49449183661940005
66,71255.0,19346.0,353.0,28,Female,Bachelors,Houston,Unemployed,0,0.2714999438643763
44,60220.0,12090.0,645.0,34,Male,Bachelors,Houston,Unemployed,0,0.20076053204031816
59,52315.0,21273.0,823.0,8,Male,Bachelors,Houston,Unemployed,1,0.4066251242449729
45,75679.0,14434.0,435.0,31,Male,Masters,Chicago,Salaried,0,0.19072410147991542
33,47224.0,21609.0,629.0,26,Female,Masters,New York,Unemployed,0,0.45757543673901535
32,40707.0,6278.0,443.0,9,Female,High School,New York,Salaried,0,0.1542203006779994
64,52307.0,26458.0,735.0,24,Male,High School,Houston,Unemployed,0,0.5058117305192322
68,61497.0,20266.0,581.0,32,Female,PhD,Houston,Salaried,0,0.3295391720055937
61,24233.0,37668.0,435.0,10,Female,High School,Chicago,Self-Employed,0,1.5543451349343897
69,54273.0,30448.0,788.0,36,Female,Masters,New York,Self-Employed,1,0.5610052695581678
20,62155.0,24529.0,700.0,8,Female,High School,San Francisco,Unemployed,0,0.3946360769676298
54,45955.0,19008.0,748.0,6,Female,High School,Houston,Salaried,1,0.41361302115066584
68,66604.0,14163.0,569.0,6,Male,Masters,San Francisco,Self-Employed,0,0.21264169356654905
24,59618.0,27539.0,316.0,33,Male,Bachelors,San Francisco,Self-Employed,0,0.4619165031281974
38,82121.0,18164.0,568.0,18,Female,Masters,New York,Unemployed,0,0.22118311780034583
26,38741.0,29347.0,781.0,19,Female,Masters,San Francisco,Unemployed,0,0.7574983222342677
56,62461.0,23207.0,518.0,24,Male,PhD,Houston,Salaried,0,0.3715378950401844
35,34740.0,23264.0,618.0,4,Male,PhD,Houston,Self-Employed,0,0.669641058115771
21,25770.0,24756.0,537.0,28,Male,Unknown,Chicago,Salaried,0,0.9606146443677002
42,19467.0,12643.0,844.0,26,Male,Bachelors,New York,Salaried,0,0.6494246969385659
31,58075.0,11823.0,584.0,24,Male,High School,New York,Unemployed,0,0.2035780701150217
67,52764.0,11546.0,336.0,36,Female,PhD,San Francisco,Salaried,0,0.21881929309201176
26,42814.0,28380.0,402.0,14,Male,Masters,Houston,Salaried,0,0.662851804274203
43,23397.0,12434.0,729.0,3,Male,PhD,Houston,Self-Employed,0,0.5314129412770322
19,39644.0,13431.0,538.0,13,Male,Masters,Chicago,Salaried,0,0.3387816874763526
